英国一基金会收藏的韩国瓷盘经鉴定其实是宋汝瓷,2小时 ago
即便是在熟悉的市区，人类也不善于找出最短路径,9小时 ago
今日好价：撒隆巴斯镇痛膏,12小时 ago
脑力小体操：网上名题之阿凡提卖萝卜,21小时 ago
不用引入暗物质的宇宙MOND模型首次获得与暗物质理论等同的解释力,1天 ago
悖论：公众认为亿万富翁阶层占有了太多的财富，但具体的某富翁其财富是他应得的,1天 ago
今日好价 211026,1天 ago
有用知识的无用性：AI技术是现代炼金术吗,2天 ago
发霉啦：今天，我去警察局保释我妈,2天 ago
为何人脑体积持续变大几百万年后，又开始缩小？,2天 ago
今日好价 211025,2天 ago
在1亿年前的琥珀中发现了迄今最完整的古螃蟹化石,3天 ago
你会在Porxxxb上看时长一小时的微积分教学片吗？,3天 ago
今日好价：回力毛绒棉鞋,3天 ago
在预警方面，我们人类的嗅觉系统非常可靠,3天 ago
230万美元：一桶不可饮用的稀有威士忌的NFT创下名酒拍卖纪录,4天 ago
今日好价：Levis牛仔裤,4天 ago
验证霍金辐射的黑洞激光器,4天 ago
一名癌症患者携带新冠病毒335天,5天 ago
强有力的证据：SARS-CoV-2是一种季节性流行传染病，就像流感,5天 ago
全球50%的屋顶上安装太阳能电池板，可以满足全世界居民的用电需求,5天 ago
物理学又站在了重大突破的边缘？第五种基本力的证据增加了,5天 ago
今日好价：水星家纺鹅绒被,5天 ago
黑客侵入阿根廷政府内政部网络，盗取了全国所有人的身份信息,6天 ago
